ABB.BO,ABB India Limited,BSE
AEGISLOG.BO,AEGIS LOGISTICS LTD.,BSE
AMARAJABAT.BO,AMARA RAJA BATTERIES LTD.,BSE
AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES LTD.,BSE
HDFC.BO,HOUSING DEVELOPMENT FINANCE CORP.LTD.,BSE
ANDHRAPET.BO,ANDHRA PETROCHEMICALS LTD.,BSE
ANSALAPI.BO,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,BSE
APPLEFIN.BO,APPLE FINANCE LTD.,BSE
BOMDYEING.BO,BOMBAY DYEING &amp; MFG.CO.LTD.,BSE
ASIANHOTNR.BO,Asian Hotels (North) Limited,BSE
ASSAMCO.BO,Assam Company (India) Limited,BSE
ATUL.BO,ATUL LTD.,BSE
ATVPR.BO,ATV PROJECTS INDIA LTD.,BSE
AUTOLITIND.BO,AUTOLITE (INDIA) LTD.,BSE
AUTORIDFIN.BO,AUTORIDERS FINANCE LTD.,BSE
BAJAJELEC.BO,BAJAJ ELECTRICALS LTD.-$,BSE
BAJAJHIND.BO,Bajaj Hindusthan Sugar Limited,BSE
FORCEMOT.BO,FORCE MOTORS LTD.-$,BSE
BAJFINANCE.BO,Bajaj Finance Limited,BSE
BALRAMCHIN.BO,BALRAMPUR CHINI MILLS LTD.,BSE
BANCOINDIA.BO,BANCO PRODUCTS (INDIA) LTD.-$,BSE
CENTURYTEX.BO,CENTURY TEXTILES &amp; INDUSTRIES LTD.,BSE
BANARISUG.BO,BANNARI AMMAN SUGARS LTD.,BSE
BASF.BO,BASF INDIA LTD.,BSE
BATAINDIA.BO,BATA INDIA LTD.,BSE
BEML.BO,BEML LTD.,BSE
BEL.BO,BHARAT ELECTRONICS LTD.,BSE
BHAGGAS.BO,Bhagawati Gas Limited,BSE
BEPL.BO,BHANSALI ENGINEERING POLYMERS LTD.-$,BSE
BHUSANSTL.BO,BHUSHAN STEEL LTD.,BSE
BIHSPONG.BO,BIHAR SPONGE IRON LTD.,BSE
BINANIIND.BO,BINANI INDUSTRIES LTD.,BSE
BIRLAERIC.BO,BIRLA ERICSSON OPTICAL LTD.,BSE
BLUESTARCO.BO,BLUE STAR LTD.,BSE
DISAQ.BO,DISA INDIA LTD.,BSE
BNKCAP.BO,BNK CAPITAL MARKETS LTD.,BSE
BPL.BO,BPL LTD.,BSE
CAMPHOR.BO,CAMPHOR &amp; ALLIED PRODUCTS LTD.-$,BSE
CENTEXT.BO,CENTURY EXTRUSIONS LTD.,BSE
CESC.BO,CESC LTD.,BSE
CHAMBLFERT.BO,CHAMBAL FERTILISERS &amp; CHEMICALS LTD.,BSE
EXIDEIND.BO,EXIDE INDUSTRIES LTD.,BSE
CIPLA.BO,CIPLA LTD.,BSE
DICIND.BO,DIC INDIA LTD.,BSE
CRISIL.BO,CRISIL LTD.,BSE
CROMPGREAV.BO,CROMPTON GREAVES LTD.,BSE
DABUR.BO,DABUR INDIA LTD.,BSE
DALMIASUG.BO,Dalmia Bharat Sugar and Industries Ltd,BSE
ARVIND.BO,ARVIND LTD.,BSE
BALLARPUR.BO,BALLARPUR INDUSTRIES LTD.,BSE
BHEL.BO,BHARAT HEAVY ELECTRICALS LTD.,BSE
HINDPETRO.BO,HINDUSTAN PETROLEUM CORPORATION LTD.,BSE
IFCI.BO,IFCI LTD.,BSE
MTNL.BO,MAHANAGAR TELEPHONE NIGAM LTD.,BSE
MRPL.BO,MANGALORE REFINERY &amp; PETROCHEMICALS LTD.,BSE
CHENNPETRO.BO,CHENNAI PETROLEUM CORPORATION LTD.,BSE
RELCAPITAL.BO,RELIANCE CAPITAL LTD.,BSE
SBIN.BO,STATE BANK OF INDIA,BSE
SAIL.BO,STEEL AUTHORITY OF INDIA LTD.,BSE
TITAN.BO,Titan Company Limited,BSE
IDBI.BO,IDBI BANK LTD.,BSE
DCW.BO,DCW LTD.,BSE
DHAMPURSUG.BO,DHAMPUR SUGAR MILLS LTD.,BSE
DIAMINESQ.BO,DIAMINES &amp; CHEMICALS LTD.-$,BSE
ELANTAS.BO,ELANTAS BECK INDIA LTD.-$,BSE
DRREDDY.BO,DR.REDDY'S LABORATORIES LTD.,BSE
EIDPARRY.BO,E.I.D.-PARRY (INDIA) LTD.,BSE
MERCK.BO,MERCK LTD.,BSE
ELECTCAST.BO,ELECTROSTEEL CASTINGS LTD.,BSE
EMPEESUG.BO,EMPEE SUGARS &amp; CHEMICALS LTD.,BSE
ESABINDIA.BO,ESAB INDIA LTD.,BSE
ESSAROIL.BO,ESSAR OIL LTD.,BSE
ESSELPRO.BO,ESSEL PROPACK LTD.,BSE
ESTER.BO,ESTER INDUSTRIES LTD.,BSE
FEDDERLOYD.BO,FEDDERS LLOYD CORPORATION LTD.,BSE
FERROALL.BO,FERRO ALLOYS CORPORATION LTD.,BSE
FGP.BO,FGP LTD.,BSE
PHCAP.BO,PH CAPITAL LTD.,BSE
FINCABLES.BO,FINOLEX CABLES LTD.,BSE
CMIFPE.BO,CMI FPE LTD.-$,BSE
UFLEX.BO,UFLEX LTD.,BSE
FOSECOIND.BO,FOSECO INDIA LTD.,BSE
GOLDENTOBC.BO,GOLDEN TOBACCO LTD.,BSE
GANESHBE.BO,GANESH BENZOPLAST LTD.,BSE
GARDENSILK.BO,GARDEN SILK MILLS LTD.,BSE
METROGLOBL.BO,Metroglobal Limited,BSE
GTL.BO,GTL LTD.,BSE
PARRYSUGAR.BO,PARRYS SUGAR INDUSTRIES LTD.,BSE
GODFRYPHLP.BO,GODFREY PHILLIPS INDIA LTD.,BSE
GODREJIND.BO,GODREJ INDUSTRIES LTD.,BSE
KANSAINER.BO,KANSAI NEROLAC PAINTS LTD.,BSE
GOODRICKE.BO,GOODRICKE GROUP LTD.,BSE
GOODYEAR.BO,GOODYEAR INDIA LTD.,BSE
GTNINDS.BO,GTN INDUSTRIES LTD.,BSE
GHCL.BO,GHCL LTD.,BSE
GUJFLUORO.BO,GUJARAT FLUOROCHEMICALS LTD.,BSE
GLFL.BO,GUJARAT LEASE FINANCING LTD.,BSE
HCL-INSYS.BO,HCL INFOSYSTEMS LTD.,BSE
HDFCBANK.BO,HDFC Bank Ltd,BSE
HEROMOTOCO.BO,HERO MOTOCORP LTD.,BSE
HFCL.BO,HIMACHAL FUTURISTIC COMMUNICATIONS LTD.,BSE
HCIL.BO,HIMADRI CHEMICALS &amp; INDUSTRIES LTD.,BSE
HCC.BO,HINDUSTAN CONSTRUCTION CO.LTD.,BSE
HINDOILEXP.BO,HINDUSTAN OIL EXPLORATION CO.LTD.,BSE
HSIL.BO,HSIL LTD.,BSE
HINDZINC.BO,HINDUSTAN ZINC LTD.,BSE
HINDUJAVEN.BO,HINDUJA VENTURES LTD.,BSE
HMT.BO,HMT LTD.,BSE
PRAGBOS.BO,PRAG BOSIMI SYNTHETICS LTD.,BSE
HOTELEELA.BO,HOTEL LEELAVENTURE LTD.,BSE
IGPL.BO,I G PETROCHEMICALS LTD.,BSE
INDIAGLYCO.BO,INDIA GLYCOLS LTD.,BSE
INDLEASE.BO,INDIA LEASE DEVELOPMENT LTD.,BSE
INDORAMA.BO,INDO RAMA SYNTHETICS (INDIA) LTD.,BSE
INFY.BO,INFOSYS LTD.,BSE
INGERRAND.BO,INGERSOLL-RAND (INDIA) LTD.,BSE
INSILCO.BO,INSILCO LTD.,BSE
IFSL.BO,INTEGRATED FINANCIAL SERVICES LTD.,BSE
ITHL.BO,INTERNATIONAL TRAVEL HOUSE LTD.-$,BSE
IONEXCHANG.BO,ION EXCHANGE (INDIA) LTD.-$,BSE
ATFL.BO,AGRO TECH FOODS LTD.,BSE
JISLJALEQS.BO,JAIN IRRIGATION SYSTEMS LTD.,BSE
JASCH.BO,JASCH INDUSTRIES LTD.,BSE
JCTEL.BO,JCT ELECTRONICS LTD.,BSE
JCTLTD.BO,JCT LTD.,BSE
JINDALPOLY.BO,JINDAL POLY FILMS LTD.,BSE
JSWSTEEL.BO,JSW STEEL LTD.,BSE
UMANGDAIR.BO,UMANG DAIRIES LTD.,BSE
KAJARIACER.BO,KAJARIA CERAMICS LTD.,BSE
KAKATCEM.BO,KAKATIYA CEMENT SUGAR &amp; INDUSTRIES LTD.,BSE
KSL.BO,KALYANI STEELS LTD.,BSE
KANELIND.BO,Kanel Industries Limited,BSE
WHIRLPOOL.BO,WHIRLPOOL OF INDIA LTD.,BSE
KGDENIM.BO,KG DENIM LTD.,BSE
KINETICENG.BO,KINETIC ENGINEERING LTD.,BSE
KIRLOSBROS.BO,KIRLOSKAR BROTHERS LTD.-$,BSE
KIRLOSIND.BO,Kirloskar Industries Ltd,BSE
